Reporting country,Reference period,Item,Business type,Item code,Value,Date of extraction (yyyymmdd),"Number of submissions (per reporting country, reference date and undertaking type)"
AUSTRIA,2018 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0430,0.0,20260416,36
AUSTRIA,2018 Q2,Reinsurers' share,Non-Life,R0440,-0.931837,20260416,36
AUSTRIA,2018 Q2,Net,Non-Life,R0500,-17.604149,20260416,36
AUSTRIA,2018 Q2,Expenses incurred,Non-Life,R0550,923.052266,20260416,36
AUSTRIA,2018 Q2,Other expenses,Non-Life,R1200,435.119555,20260416,36
AUSTRIA,2018 Q2,Balance - other technical expenses/income,Non-Life,R1210,,20260416,36
AUSTRIA,2018 Q2,Total technical expenses,Non-Life,R1300,1358.171821,20260416,36
AUSTRIA,2018 Q2,Premiums written,Life,R1401,,20260416,36
AUSTRIA,2018 Q2,Gross,Life,R1410,4026.266828,20260416,36
AUSTRIA,2018 Q2,Reinsurers' share,Life,R1420,82.125855,20260416,36
AUSTRIA,2018 Q2,Net,Life,R1500,3944.140974,20260416,36
AUSTRIA,2018 Q2,Premiums earned,Life,R1501,,20260416,36
AUSTRIA,2018 Q2,Gross,Life,R1510,3986.069041,20260416,36
AUSTRIA,2018 Q2,Reinsurers' share,Life,R1520,83.368861,20260416,36
AUSTRIA,2018 Q2,Net,Life,R1600,3902.70018,20260416,36
AUSTRIA,2018 Q2,Claims incurred,Life,R1601,,20260416,36
AUSTRIA,2018 Q2,Gross,Life,R1610,4000.756844,20260416,36
AUSTRIA,2018 Q2,Reinsurers' share,Life,R1620,61.241469,20260416,36
AUSTRIA,2018 Q2,Net,Life,R1700,3939.515374,20260416,36
AUSTRIA,2018 Q2,Changes in other technical provisions,Life,R1701,,20260416,36
AUSTRIA,2018 Q2,Gross,Life,R1710,408.712729,20260416,36
AUSTRIA,2018 Q2,Reinsurers' share,Life,R1720,6.676059,20260416,36
AUSTRIA,2018 Q2,Net,Life,R1800,402.03667,20260416,36
AUSTRIA,2018 Q2,Expenses incurred,Life,R1900,507.592418,20260416,36
AUSTRIA,2018 Q2,Other expenses,Life,R2500,149.772354,20260416,36
AUSTRIA,2018 Q2,Balance - other technical expenses/income,Life,R2510,,20260416,36
AUSTRIA,2018 Q2,Total technical expenses,Life,R2600,657.364772,20260416,36
AUSTRIA,2018 Q2,Net Combined Ratio,Non-Life,Z0001,0.8,20260416,36
AUSTRIA,2018 Q2,Net Expense Ratio,Non-Life,Z0002,0.23,20260416,36
AUSTRIA,2018 Q3,Premiums written,Non-Life,R0101,,20260416,35
AUSTRIA,2018 Q3,Gross - Direct Business,Non-Life,R0110,7489.690077,20260416,35
AUSTRIA,2018 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0120,952.37104,20260416,35
AUSTRIA,2018 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,8.514823,20260416,35
AUSTRIA,2018 Q3,Reinsurers' share,Non-Life,R0140,2195.606516,20260416,35
AUSTRIA,2018 Q3,Net,Non-Life,R0200,6254.969424,20260416,35
AUSTRIA,2018 Q3,Premiums earned,Non-Life,R0201,,20260416,35
AUSTRIA,2018 Q3,Gross - Direct Business,Non-Life,R0210,7115.480023,20260416,35
AUSTRIA,2018 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0220,926.77417,20260416,35
AUSTRIA,2018 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,8.426554,20260416,35
